id,name,min_players,max_players,play_time,min_age,published,owned,average_rating,category
1,Die Macher,3,5,240,14,1986,5251,7.29168,Economic
5,Acquire,3,6,90,12,1964,18682,7.21895,Economic
15,Cosmic Encounter,2,6,90,12,1977,3991,6.59068,Bluffing
15,Cosmic Encounter,2,6,90,12,1977,3991,6.59068,Science Fiction
16,MarraCash,3,4,60,12,1996,1027,6.1583,Economic
17,Button Men,2,2,5,10,1999,1123,5.82793,Fighting
18,RoboRally,2,8,120,12,1994,22500,7.04248,Science Fiction
19,Wacky Wacky West,2,4,45,9,1991,2402,5.97993,Bluffing
20,Full Metal Planète,2,4,90,12,1988,794,6.22524,Science Fiction
24,Twilight Imperium,2,6,240,12,1997,789,5.9475,Science Fiction
26,Age of Renaissance,3,6,360,12,1996,2491,6.54171,Economic
27,Supremacy,2,6,340,12,1984,1941,5.48991,Economic
30,Dark Tower,1,4,90,10,1981,1276,5.99557,Fighting
31,Dark World,2,5,90,10,1992,1427,5.36418,Fighting
36,Federation & Empire,2,8,300,12,1986,914,5.67433,Science Fiction
40,Borderlands,2,4,120,12,1982,507,5.74461,Bluffing
43,Airlines,2,6,90,12,1990,447,5.79368,Economic
47,Chinatown,3,5,60,12,1999,6924,6.97908,Economic
57,Schoko & Co.,2,4,180,13,1987,727,5.82281,Economic
58,Kings & Things,2,4,120,12,1986,2962,6.11767,Bluffing
59,Giganten,3,4,90,10,1999,1669,6.2389,Economic
71,Civilization,2,7,360,12,1980,8311,7.21355,Economic
76,Air Baron,2,6,120,10,1996,896,5.85465,Economic
94,Union Pacific,2,6,90,12,1999,3925,6.91159,Economic
97,Conquest of the Empire,2,6,180,10,1984,1479,5.8191,Economic
98,Axis & Allies,2,5,180,12,1981,11650,6.32236,Economic
99,Fortress America,2,4,180,12,1986,3223,6.2921,Science Fiction
103,Titan,2,6,240,12,1980,5001,6.59892,Fighting
110,Auf Achse,2,6,60,8,1987,1869,5.93455,Economic
112,Condottiere,2,6,45,14,1995,7296,6.5595,Bluffing
118,Modern Art,3,5,45,10,1992,11784,7.14634,Economic
120,Hoity Toity,2,6,45,12,1990,6181,6.3476,Bluffing
127,Princess Ryan's Star Marines,1,6,120,10,1997,484,5.46019,Science Fiction
132,Caesar & Cleopatra,2,2,60,10,1997,5976,6.24544,Bluffing
139,Hoax,3,12,45,10,1981,335,5.59375,Bluffing
141,Andromeda,3,5,60,10,1999,1636,6.00086,Science Fiction
142,Vino,3,5,90,12,1999,824,5.90072,Economic
146,Buy Low Sell High,2,4,45,10,1996,1152,5.80441,Economic
147,Crude: The Oil Game,2,4,90,13,1974,1611,6.13944,Economic
148,Die Glücksritter,3,6,60,8,1999,187,5.52927,Bluffing
157,Eurorails,2,6,240,10,1990,2237,6.42916,Economic
162,The Awful Green Things From Outer Space,2,2,90,12,1979,3946,6.16706,Science Fiction
163,Balderdash,2,6,60,12,1984,6041,6.17913,Bluffing
167,Dicke Kartoffeln,2,6,120,12,1989,310,5.58756,Economic
168,Empire Builder,2,6,180,12,1982,3555,6.48409,Economic
172,For Sale,3,6,20,8,1997,18143,7.11501,Economic
175,Raj,2,5,20,8,1988,2193,6.08025,Bluffing
219,Volle Hütte,3,5,30,12,1997,218,5.59843,Economic
222,Space Beans,2,6,40,10,1999,2047,5.84229,Science Fiction
228,Lunch Money,2,4,20,13,1996,3772,5.53604,Fighting
230,Merchant of Venus,1,6,180,12,1988,2858,6.68935,Economic
230,Merchant of Venus,1,6,180,12,1988,2858,6.68935,Science Fiction
232,Serenissima (first edition),2,4,120,12,1996,2770,6.41542,Economic
242,Junta,2,7,240,16,1978,6808,6.48675,Bluffing
244,Circus Maximus,2,8,120,12,1979,2506,6.19217,Fighting
250,Colonial Diplomacy,2,7,360,12,1994,595,5.77822,Bluffing
267,Tycoon,2,4,90,10,1998,930,6.02044,Economic
270,Svea Rike,2,5,120,12,1997,687,5.76013,Economic
273,Africa 1880,3,6,120,14,1997,325,5.51689,Bluffing
281,Ostindiska Kompaniet,2,5,0,10,1991,196,5.40929,Economic
284,Lords of the Sierra Madre (second edition),2,8,240,14,1995,545,5.58332,Economic
296,Medieval Merchant,2,6,90,12,1998,1422,6.17642,Economic
305,Der Fliegende Holländer,3,6,60,12,1992,560,5.62058,Bluffing
311,Time Agent,2,6,240,12,1992,587,5.73307,Science Fiction
313,Big Boss,2,6,90,10,1994,253,5.91259,Economic
322,Tonga Bonga,3,4,45,10,1998,570,5.81497,Economic
330,Block Mania,2,2,120,14,1987,717,5.75851,Science Fiction
332,Vernissage,3,5,60,12,1993,298,5.6336,Economic
334,Advance to Boardwalk,2,4,60,8,1985,1428,5.43123,Economic
343,Twins,3,6,30,8,1996,240,5.5659,Bluffing
344,Members Only,3,5,45,10,1996,352,5.77852,Bluffing
348,Merchants of the Middle Ages,2,4,120,10,1999,2137,6.23589,Economic
364,Samarkand,2,5,30,9,1980,875,5.92824,Economic
375,6 Billion,2,5,120,12,1999,284,5.47302,Science Fiction
378,Lancashire Railways,3,6,120,12,1998,270,5.64977,Economic
382,Heimlich & Co.,2,7,30,8,1984,3854,6.19502,Bluffing
387,Corruption,3,7,45,10,2000,646,5.58238,Bluffing
389,Die Mauer,3,6,30,8,1997,338,5.61569,Bluffing
392,Brawl,2,7,15,10,1999,1857,5.94739,Fighting
400,Shanghai,3,6,30,12,1997,221,5.47542,Bluffing
408,Zoon,2,2,30,8,1999,708,5.48077,Bluffing
408,Zoon,2,2,30,8,1999,708,5.48077,Fighting
413,Die Erben von Hoax,3,8,45,12,1999,238,5.56558,Bluffing
417,Edison & Co.,2,4,45,12,1998,607,5.24233,Science Fiction
420,Rail Baron,3,6,240,10,1977,2145,6.06386,Economic
421,1830: Railways & Robber Barons,2,7,360,14,1986,4939,7.29737,Economic
422,1835,3,7,360,16,1990,1092,6.07739,Economic
423,1856,3,6,300,14,1995,1496,6.55615,Economic
424,1870,2,6,360,14,1992,1293,6.37653,Economic
427,Grass,2,6,60,18,1980,1657,5.68187,Economic
430,Asterix: Das Kartenspiel,2,5,30,8,1990,224,5.55052,Bluffing
431,Alhambra: The Card Game,3,6,45,10,1992,1678,5.88834,Economic
433,Shark,2,6,90,12,1987,1630,6.13399,Economic
